Postcode,DZ,SIMD16_Rank,SIMD16_Vigintile,SIMD16_Decile,SIMD16_Quintile
AB1 0AA,S01006514,6808,20,10,5
AB1 0AB,S01006514,6808,20,10,5
AB1 0AD,S01006514,6808,20,10,5
AB1 0AE,S01006853,5503,16,8,4
AB1 0AF,S01006511,6668,20,10,5
AB1 0AG,S01006506,5272,16,8,4
AB1 0AJ,S01006514,6808,20,10,5
AB1 0AL,S01006511,6668,20,10,5
AB1 0AN,S01006514,6808,20,10,5
AB1 0AP,S01006514,6808,20,10,5
AB1 0AQ,S01006514,6808,20,10,5
AB1 0AR,S01006853,5503,16,8,4
AB1 0AS,S01006853,5503,16,8,4
AB1 0AT,S01006853,5503,16,8,4
AB1 0AX,S01006853,5503,16,8,4
AB1 0BA,S01006853,5503,16,8,4
AB1 0BB,S01006853,5503,16,8,4
AB1 0BD,S01006853,5503,16,8,4
AB1 0BE,S01006853,5503,16,8,4
AB1 0BJ,S01006853,5503,16,8,4
AB1 0BL,S01006853,5503,16,8,4
AB1 0BN,S01006853,5503,16,8,4
AB1 0BP,S01006853,5503,16,8,4
AB1 0BQ,S01006853,5503,16,8,4
AB1 0BR,S01006853,5503,16,8,4
AB1 0BS,S01006853,5503,16,8,4
AB1 0BT,S01006853,5503,16,8,4
AB1 0BX,S01006853,5503,16,8,4
AB1 0BY,S01006853,5503,16,8,4
AB1 0BZ,S01006853,5503,16,8,4
AB1 0DA,S01006853,5503,16,8,4
AB1 0DB,S01006853,5503,16,8,4
AB1 0DD,S01006853,5503,16,8,4
AB1 0DJ,S01006514,6808,20,10,5
AB1 0DL,S01006514,6808,20,10,5
AB1 0DN,S01006514,6808,20,10,5
AB1 0DP,S01006514,6808,20,10,5
AB1 0DQ,S01006514,6808,20,10,5
AB1 0DR,S01006513,5845,17,9,5
AB1 0DS,S01006513,5845,17,9,5
AB1 0DT,S01006513,5845,17,9,5
AB1 0DU,S01006514,6808,20,10,5
AB1 0DX,S01006516,6259,18,9,5
AB1 0DY,S01006514,6808,20,10,5
AB1 0EA,S01006516,6259,18,9,5
AB1 0EB,S01006513,5845,17,9,5
AB1 0ED,S01006513,5845,17,9,5
AB1 0EE,S01006513,5845,17,9,5
AB1 0EF,S01006514,6808,20,10,5
AB1 0EH,S01006514,6808,20,10,5
AB1 0EJ,S01006514,6808,20,10,5
AB1 0EL,S01006515,6322,19,10,5
AB1 0EN,S01006514,6808,20,10,5
AB1 0EP,S01006515,6322,19,10,5
AB1 0EQ,S01006515,6322,19,10,5
AB1 0ER,S01006515,6322,19,10,5
AB1 0ES,S01006515,6322,19,10,5
AB1 0ET,S01006515,6322,19,10,5
AB1 0EU,S01006514,6808,20,10,5
AB1 0EW,S01006514,6808,20,10,5
